Date,Close/Last,Volume,Open,High,Low
08/07/2025,$25.16,8678063,$23.765,$25.50,$23.54
08/06/2025,$24.32,26843380,$26.56,$26.56,$21.44
08/05/2025,$30.70,4117718,$30.54,$31.25,$30.20
08/04/2025,$30.61,4131108,$29.83,$31.00,$29.40
08/01/2025,$29.69,3068351,$29.28,$29.88,$28.80
07/31/2025,$29.96,2527076,$30.03,$30.69,$29.71
07/30/2025,$30.38,2665023,$30.35,$30.60,$29.50
07/29/2025,$30.43,1733911,$31.29,$31.51,$30.25
07/28/2025,$31.40,1832537,$31.64,$31.99,$30.96
07/25/2025,$31.60,1785725,$32.10,$32.10,$31.43
07/24/2025,$31.72,1610917,$32.43,$32.8628,$31.545
07/23/2025,$32.94,3776736,$31.93,$33.50,$31.91
07/22/2025,$31.60,1831145,$31.23,$31.89,$30.75
07/21/2025,$30.96,2726528,$30.93,$31.16,$30.67
07/18/2025,$30.75,3353635,$29.80,$30.88,$29.74
07/17/2025,$29.44,3007396,$28.05,$29.61,$28.05
07/16/2025,$28.04,2021019,$27.37,$28.17,$27.0654
07/15/2025,$27.28,3348873,$28.58,$28.81,$27.14
07/14/2025,$28.71,2886227,$29.53,$29.705,$28.15
07/11/2025,$29.72,2030473,$31.00,$31.1171,$29.65
07/10/2025,$31.35,1833380,$31.88,$32.275,$31.25
07/09/2025,$31.88,5909032,$31.73,$32.09,$31.57
07/08/2025,$31.46,3717470,$31.22,$32.21,$30.89
07/07/2025,$31.07,2196394,$31.90,$31.975,$30.635
07/03/2025,$32.15,826138,$32.00,$32.535,$31.86
07/02/2025,$31.92,3852054,$32.00,$32.31,$31.0219
07/01/2025,$31.87,3522279,$30.27,$32.32,$30.04
06/30/2025,$30.43,2220509,$30.66,$30.94,$29.83
06/27/2025,$30.89,3309971,$30.83,$30.89,$29.87
06/26/2025,$30.64,1745915,$30.35,$30.91,$30.175
06/25/2025,$30.25,1227412,$30.41,$30.8576,$29.85
06/24/2025,$30.49,1609822,$31.13,$31.31,$30.34
06/23/2025,$30.49,1334822,$30.13,$30.585,$29.54
06/20/2025,$30.35,1619869,$30.63,$31.17,$30.00
06/18/2025,$30.34,1851797,$29.39,$30.58,$29.15
06/17/2025,$29.30,3180788,$29.18,$30.33,$29.07
06/16/2025,$29.48,2509294,$30.22,$30.35,$29.39
06/13/2025,$29.87,3466449,$31.06,$31.3473,$29.66
06/12/2025,$31.76,2172417,$31.90,$31.93,$30.905
06/11/2025,$32.03,2150677,$32.87,$33.14,$31.87
06/10/2025,$32.70,2178425,$31.95,$32.74,$31.52
06/09/2025,$31.82,2622689,$33.60,$33.60,$31.68
06/06/2025,$33.25,1850621,$33.51,$33.63,$32.86
06/05/2025,$32.85,1508410,$33.16,$33.39,$32.5475
06/04/2025,$33.26,1251373,$33.00,$33.40,$32.80
06/03/2025,$33.11,2082910,$32.62,$33.5145,$32.21
06/02/2025,$32.74,2679173,$33.75,$33.79,$31.82
05/30/2025,$33.56,2711476,$34.45,$34.46,$33.03
05/29/2025,$34.61,1483404,$34.73,$34.96,$34.245
05/28/2025,$34.53,2252666,$35.11,$35.6499,$34.36
05/27/2025,$35.06,2484726,$35.10,$35.59,$34.65
05/23/2025,$34.20,1854583,$33.75,$34.69,$33.40
05/22/2025,$34.67,1867544,$34.27,$34.89,$33.85
05/21/2025,$34.20,2180087,$35.97,$36.26,$34.19
05/20/2025,$36.33,3316792,$37.28,$38.27,$36.055
05/19/2025,$37.09,2040459,$37.31,$37.51,$36.78
05/16/2025,$37.78,1550237,$36.71,$37.95,$35.965
05/15/2025,$36.74,1556212,$36.90,$37.088,$36.08
05/14/2025,$36.92,1942567,$37.34,$37.82,$36.15
05/13/2025,$37.16,2468177,$38.29,$38.47,$37.005
